number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
21,0.48877237030281184,0.42975110654754445,2024-12-11 11:49:21.016192,2024-12-11 11:50:21.303478,0 days 00:01:00.287286,0.953753818019054,1.8491862702228063,0.017876810843947294,7,18,1999,0.5714237748097863,2.698237702291068,0.5612945710568603,COMPLETE
22,0.48503026609833394,0.43110798563243763,2024-12-11 11:50:21.304178,2024-12-11 11:51:11.968405,0 days 00:00:50.664227,0.9988625362265566,1.8105671692330272,0.0273934555872391,6,17,1793,1.2582204002654427,2.993171948876076,0.5004958501109411,COMPLETE
23,0.4690407694021418,0.43352737027632726,2024-12-11 11:51:11.969086,2024-12-11 11:51:54.020667,0 days 00:00:42.051581,0.7682750792630355,1.2996281928705053,0.10355136026218364,6,16,1812,0.5716145253018491,2.725194742636043,0.5068036104106091,COMPLETE
24,0.4261550881200494,0.45251472276127264,2024-12-11 11:51:54.021344,2024-12-11 11:52:13.760409,0 days 00:00:19.739065,0.9535658861036258,1.7077217063559393,0.2718728776290684,15,50,813,1.3868328284266123,2.7399494177832087,0.575585224162283,COMPLETE
25,0.4781444835531056,0.4360791136458319,2024-12-11 11:52:13.761055,2024-12-11 11:52:47.783676,0 days 00:00:34.022621,0.9195422087383442,2.255422328024662,0.09332612813407459,6,24,1498,0.8750102205992174,2.9574008912919103,0.7222448842347382,COMPLETE
26,0.44830375689084045,0.4440699980557402,2024-12-11 11:52:47.784435,2024-12-11 11:53:30.934840,0 days 00:00:43.150405,0.9687404056540463,1.8601930967749634,0.1985141539618024,16,31,1998,0.21262673857802494,1.1432391096518804,0.7764918288021752,COMPLETE
27,0.31113814321299454,0.5207675763198192,2024-12-11 11:53:30.935617,2024-12-11 11:53:57.308188,0 days 00:00:26.372571,0.8778967082744281,1.3925395595127803,0.6872082813982533,28,8,1176,0.48406863226130215,1.9908100055110878,0.7098844178600306,COMPLETE
28,0.4854478663944778,0.4283080535474486,2024-12-11 11:53:57.308901,2024-12-11 11:54:41.630086,0 days 00:00:44.321185,0.999166235871606,1.708466685561882,0.04786435058713853,5,16,1780,0.5482357345446031,2.388589380838826,0.6058089038356976,COMPLETE
29,0.4677682011458037,0.4361201165300025,2024-12-11 11:54:41.630755,2024-12-11 11:55:26.007682,0 days 00:00:44.376927,0.9474797060893774,2.118915926492268,0.1287758333903835,19,15,1995,0.6374271038082772,2.614631392183501,0.5665834147963567,COMPLETE
30,0.4583047623607227,0.4402550812402423,2024-12-11 11:55:26.008373,2024-12-11 11:55:50.903930,0 days 00:00:24.895557,0.9220178128040766,1.6032599767068183,0.2026141883557301,1,23,1165,0.2256651772706666,2.3506591815065616,0.5520730115323712,COMPLETE
31,0.48832245852139416,0.43068380237139825,2024-12-11 11:55:50.904566,2024-12-11 11:56:40.919635,0 days 00:00:50.015069,0.9952221283475253,1.7909017907144837,0.0275995258064328,6,17,1839,0.5844208779750075,2.7082673320795285,0.647502159012258,COMPLETE
32,0.4728045044847059,0.4354094670577272,2024-12-11 11:56:40.920355,2024-12-11 11:57:24.512915,0 days 00:00:43.592560,0.9763126968110823,2.329923180193049,0.06792761698271635,8,17,1872,0.5608724060620838,2.703590501925342,0.6024294204936084,COMPLETE
33,0.4645215217004349,0.43589441847255495,2024-12-11 11:57:24.513779,2024-12-11 11:58:01.762539,0 days 00:00:37.248760,0.9600607948527473,1.9801111351871947,0.1413923306521479,15,41,1674,1.6888639018919431,1.7700095048808127,0.6569412171895077,COMPLETE
34,0.4001234453516922,0.5722709783200384,2024-12-11 11:58:01.763217,2024-12-11 11:59:36.943285,0 days 00:01:35.180068,0.6342651401145103,0.8757328097528385,0.00022216865542520024,4,10,1868,0.8791488888724243,2.4749178796932543,0.6256599425237952,COMPLETE
