number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
72,0.5235564099892773,0.4092190499631074,2025-01-07 19:08:09.276038,2025-01-07 19:09:37.991741,0 days 00:01:28.715703,32,0.05,0.02839316783651318,0.00015451695924746474,3,700,COMPLETE
73,0.49148653155374056,0.43153070024278034,2025-01-07 19:09:37.992798,2025-01-07 19:11:33.713732,0 days 00:01:55.720934,32,0.05,0.20439457700377212,0.0004402864665811278,3,1000,COMPLETE
74,0.40139643925367413,0.4698830235625719,2025-01-07 19:11:33.714906,2025-01-07 19:12:21.324062,0 days 00:00:47.609156,32,0.5,0.24188273723875475,0.000159488876275035,2,1300,COMPLETE
75,0.5135004397656564,0.41269209849954436,2025-01-07 19:12:21.325816,2025-01-07 19:13:25.787181,0 days 00:01:04.461365,128,0.0,0.05002646047940959,0.00029054748527330423,3,800,COMPLETE
76,0.46922721112516486,0.44277517123754107,2025-01-07 19:13:25.788022,2025-01-07 19:15:57.204478,0 days 00:02:31.416456,32,0.05,0.2852047194006689,0.0005819204757054484,3,700,COMPLETE
77,0.5113795080469781,0.4165353746875612,2025-01-07 19:15:57.205521,2025-01-07 19:37:37.737778,0 days 00:21:40.532257,16,0.0,0.06398431275277944,0.0005168023137092523,3,1700,COMPLETE
78,0.5259634567990384,0.4063652259196228,2025-01-07 19:37:37.738774,2025-01-07 19:39:41.897033,0 days 00:02:04.158259,32,0.0,0.030322182011821304,0.00031620586681834677,3,600,COMPLETE
79,0.5165972987296493,0.4132919534530812,2025-01-07 19:39:41.898027,2025-01-07 19:41:10.914102,0 days 00:01:29.016075,32,0.0,0.04026967985173376,0.0003138261627228169,3,600,COMPLETE
80,0.5268860242162989,0.40599368080667136,2025-01-07 19:41:10.914956,2025-01-07 19:42:48.362384,0 days 00:01:37.447428,32,0.0,0.027750903576946387,0.00017806659315851888,3,600,COMPLETE
81,0.5196421136995111,0.410169080945889,2025-01-07 19:42:48.370736,2025-01-07 19:44:29.969005,0 days 00:01:41.598269,32,0.0,0.02425525557307337,0.00020045628977187864,3,600,COMPLETE
82,0.5142633583892094,0.4162564009175501,2025-01-07 19:44:29.975282,2025-01-07 19:46:05.515314,0 days 00:01:35.540032,32,0.0,0.03060425624906519,0.00016784220602871224,3,700,COMPLETE
83,0.5094635276123838,0.41509750612530816,2025-01-07 19:46:05.516368,2025-01-07 19:47:27.606824,0 days 00:01:22.090456,64,0.0,0.0603844749639085,0.00015416883959211859,3,500,COMPLETE
84,0.5137681608078435,0.4127758069326374,2025-01-07 19:47:27.607621,2025-01-07 19:49:34.562260,0 days 00:02:06.954639,32,0.05,0.048409938335142316,0.00011152154885394025,3,1100,COMPLETE
85,0.515731263002587,0.41365886382580525,2025-01-07 19:49:34.571125,2025-01-07 19:51:37.306594,0 days 00:02:02.735469,32,0.05,0.08141195814609989,0.00018351137325609736,3,400,COMPLETE
86,0.5078054284870941,0.4183472320884281,2025-01-07 19:51:37.316567,2025-01-07 19:53:03.106960,0 days 00:01:25.790393,128,0.0,0.013626352375274837,0.00023942714162114757,3,1900,COMPLETE
87,0.5137138387016045,0.4162783427019806,2025-01-07 19:53:03.121163,2025-01-07 19:54:46.166055,0 days 00:01:43.044892,32,0.0,0.03354079159061231,0.00014406492232731916,3,900,COMPLETE
