number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
73,0.4742872593336214,0.44007411562844245,2024-12-11 18:57:23.213605,2024-12-11 18:57:59.964799,0 days 00:00:36.751194,128,0.2,0.0008835206834399191,2,2000,COMPLETE
74,0.5472849145589057,0.3951451258423833,2024-12-11 18:57:59.965610,2024-12-11 18:59:51.498481,0 days 00:01:51.532871,16,0.0,0.0007519854154788342,2,700,COMPLETE
75,0.42488266959438087,0.46637883728742613,2024-12-11 18:59:51.503050,2024-12-11 19:00:20.146111,0 days 00:00:28.643061,64,0.4,0.0003237925883354306,3,800,COMPLETE
76,0.4690918135941911,0.435235281793959,2024-12-11 19:00:20.146959,2024-12-11 19:01:00.937342,0 days 00:00:40.790383,32,0.25,0.00011835581253951685,1,800,COMPLETE
77,0.445454131506582,0.5033190794265259,2024-12-11 19:01:00.940115,2024-12-11 19:01:28.677477,0 days 00:00:27.737362,128,0.35000000000000003,0.0007581999032819607,3,700,COMPLETE
78,0.4425846876103116,0.45034920653822813,2024-12-11 19:01:28.678367,2024-12-11 19:02:00.265183,0 days 00:00:31.586816,64,0.0,0.0006929920893196587,1,1000,COMPLETE
79,0.4645726779400384,0.4352644889158042,2024-12-11 19:02:00.271463,2024-12-11 19:02:38.299951,0 days 00:00:38.028488,32,0.25,0.00020337815088320317,3,600,COMPLETE
80,0.49346478400372024,0.42315691796326355,2024-12-11 19:02:38.300940,2024-12-11 19:03:14.205265,0 days 00:00:35.904325,128,0.30000000000000004,0.0004225086497230416,2,900,COMPLETE
81,0.5044604151056662,0.4190218812733496,2024-12-11 19:03:14.214391,2024-12-11 19:04:05.687971,0 days 00:00:51.473580,16,0.0,0.00037588316543180414,2,700,COMPLETE
82,0.5266512882895686,0.4082277356402206,2024-12-11 19:04:05.688648,2024-12-11 19:05:41.859047,0 days 00:01:36.170399,16,0.05,0.00048273633428397446,2,600,COMPLETE
83,0.44454269773320787,0.46602714036452203,2024-12-11 19:05:41.859699,2024-12-11 19:06:16.080189,0 days 00:00:34.220490,16,0.2,0.0006152265551504637,2,700,COMPLETE
84,0.5032250061769237,0.41963407900413563,2024-12-11 19:06:16.080862,2024-12-11 19:07:02.419499,0 days 00:00:46.338637,64,0.0,0.0008405321239590716,2,800,COMPLETE
85,0.3281109046996322,0.5760105130481447,2024-12-11 19:07:02.428635,2024-12-11 19:07:30.862165,0 days 00:00:28.433530,16,0.45,0.0004462998062701247,2,1400,COMPLETE
86,0.4339717677375784,0.4706241448491001,2024-12-11 19:07:30.872081,2024-12-11 19:08:01.807236,0 days 00:00:30.935155,32,0.5,0.0007407269812592263,1,1700,COMPLETE
87,0.4856240979954848,0.43116381367057777,2024-12-11 19:08:01.813812,2024-12-11 19:08:30.999975,0 days 00:00:29.186163,128,0.05,0.0005398310759360274,2,1100,COMPLETE
88,0.4543729969790915,0.4838304779575143,2024-12-11 19:08:31.009449,2024-12-11 19:09:09.138534,0 days 00:00:38.129085,16,0.2,0.0006857052221294186,3,700,COMPLETE
89,0.48487808579785974,0.43736240501107215,2024-12-11 19:09:09.139274,2024-12-11 19:09:44.212741,0 days 00:00:35.073467,16,0.1,0.0007889313870038871,2,600,COMPLETE
90,0.49903260988713266,0.43357103542550596,2024-12-11 19:09:44.213456,2024-12-11 19:10:29.084161,0 days 00:00:44.870705,16,0.15000000000000002,0.00029768493743447623,2,900,COMPLETE
91,0.5288513899121772,0.4065206571349835,2024-12-11 19:10:29.093519,2024-12-11 19:12:03.829653,0 days 00:01:34.736134,16,0.0,0.0006648080278250176,2,1800,COMPLETE
92,0.4843324096531,0.4273272366656089,2024-12-11 19:12:03.830346,2024-12-11 19:12:50.797375,0 days 00:00:46.967029,16,0.0,0.00010885062175093312,2,700,COMPLETE
93,0.4523413134591183,0.44613657973420356,2024-12-11 19:12:50.803518,2024-12-11 19:13:22.825946,0 days 00:00:32.022428,64,0.0,0.00027504313817761636,1,1900,COMPLETE
94,0.4987715376126801,0.4248255874278867,2024-12-11 19:13:22.832505,2024-12-11 19:14:10.309410,0 days 00:00:47.476905,16,0.05,0.00012916369454785227,2,800,COMPLETE
95,0.48832793550641573,0.4283285134452626,2024-12-11 19:14:10.310347,2024-12-11 19:14:49.535841,0 days 00:00:39.225494,32,0.0,0.00015262806363627315,2,600,COMPLETE
96,0.4699922361879937,0.4328587096239443,2024-12-11 19:14:49.540052,2024-12-11 19:15:22.931617,0 days 00:00:33.391565,128,0.0,0.0005770640780342328,2,1600,COMPLETE
97,0.49855968533665707,0.4227122206247512,2024-12-11 19:15:22.932560,2024-12-11 19:16:21.029124,0 days 00:00:58.096564,16,0.05,0.00010130278220750092,3,1200,COMPLETE
98,0.48167082564865504,0.4344444360772227,2024-12-11 19:16:21.030020,2024-12-11 19:17:02.264758,0 days 00:00:41.234738,16,0.15000000000000002,0.0009562182624928726,1,700,COMPLETE
99,0.4498454641884571,0.47634483499581204,2024-12-11 19:17:02.265619,2024-12-11 19:17:28.683134,0 days 00:00:26.417515,64,0.35000000000000003,0.0007393304811298974,2,1000,COMPLETE
