number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
37,0.47626370191574097,0.433372437953949,2025-01-18 20:00:29.238254,2025-01-18 20:15:02.659753,0 days 00:14:33.421499,3,0.45,32,0.15000000000000002,149,0.35000000000000003,113,1,0.0005280325783875891,3,400,3,COMPLETE
38,0.42672938108444214,0.4531562924385071,2025-01-18 20:15:02.660685,2025-01-18 20:30:51.452676,0 days 00:15:48.791991,3,0.4,64,0.4,271,0.25,104,1,0.00017063836607559727,2,600,3,COMPLETE
39,0.0190848708152771,0.6257649064064026,2025-01-18 20:30:51.453636,2025-01-18 20:37:38.551616,0 days 00:06:47.097980,2,0.35000000000000003,128,0.15000000000000002,219,0.15000000000000002,107,0,0.008863137029444405,1,100,5,COMPLETE
40,0.2726185619831085,0.5141757726669312,2025-01-18 20:37:38.552447,2025-01-18 20:45:48.860479,0 days 00:08:10.308032,3,0.45,16,0.05,152,0.2,121,1,0.0006120393869960235,2,1900,2,COMPLETE
41,0.4472014904022217,0.4417460560798645,2025-01-18 20:45:48.861512,2025-01-18 21:05:05.031976,0 days 00:19:16.170464,5,0.30000000000000004,32,0.35000000000000003,242,0.45,113,0,0.0012626270027658456,1,200,4,COMPLETE
42,0.45330947637557983,0.4418567717075348,2025-01-18 21:05:05.032898,2025-01-18 21:23:39.115336,0 days 00:18:34.082438,5,0.30000000000000004,32,0.2,186,0.05,99,0,0.00030591958391660917,3,300,4,COMPLETE
43,0.38734450936317444,0.47216683626174927,2025-01-18 21:23:39.116370,2025-01-18 21:37:04.354796,0 days 00:13:25.238426,5,0.25,32,0.30000000000000004,167,0.35000000000000003,112,0,0.0023651403072309134,1,1800,4,COMPLETE
44,0.45057305693626404,0.4437304139137268,2025-01-18 21:37:04.355577,2025-01-18 21:59:51.869885,0 days 00:22:47.514308,5,0.5,32,0.30000000000000004,254,0.4,122,0,0.0005168210995899709,2,600,4,COMPLETE
45,0.46061402559280396,0.43952828645706177,2025-01-18 21:59:51.870810,2025-01-18 22:16:52.979947,0 days 00:17:01.109137,5,0.4,128,0.4,139,0.5,102,1,0.00035691286909153016,2,100,3,COMPLETE
46,0.45792585611343384,0.4406892657279968,2025-01-18 22:16:52.980744,2025-01-18 22:26:59.444876,0 days 00:10:06.464132,5,0.1,64,0.35000000000000003,286,0.0,32,0,0.00026131504901405017,3,1300,2,COMPLETE
47,0.13956709206104279,0.5776321291923523,2025-01-18 22:26:59.445767,2025-01-18 22:39:25.169828,0 days 00:12:25.724061,5,0.2,16,0.45,208,0.1,116,0,0.005798618464250889,1,700,4,COMPLETE
