number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
83,0.0004123210965190083,0.5071064233779907,2025-01-16 06:58:24.662410,2025-01-16 07:05:44.081302,0 days 00:07:19.418892,2,0.4,32,0.1,261,0.35000000000000003,104,1,0.0006773524769632263,2,2000,6,COMPLETE
84,0.3271610140800476,0.37360289692878723,2025-01-16 07:05:44.082099,2025-01-16 07:10:12.986673,0 days 00:04:28.904574,3,0.45,16,0.25,147,0.5,117,0,0.0009003887155224508,2,1400,2,COMPLETE
85,0.3274044096469879,0.3813784718513489,2025-01-16 07:10:12.987749,2025-01-16 07:21:23.360328,0 days 00:11:10.372579,4,0.15000000000000002,16,0.45,161,0.5,108,0,0.0002777446460602374,2,1500,5,COMPLETE
86,0.32590967416763306,0.3965485394001007,2025-01-16 07:21:23.361492,2025-01-16 07:31:16.055727,0 days 00:09:52.694235,5,0.35000000000000003,32,0.05,183,0.4,52,0,0.0009212928233300824,2,1400,5,COMPLETE
87,0.3128226399421692,0.38044071197509766,2025-01-16 07:31:16.056701,2025-01-16 07:42:09.721572,0 days 00:10:53.664871,3,0.30000000000000004,32,0.1,177,0.35000000000000003,117,1,0.00011612848971983856,3,200,4,COMPLETE
88,-0.0010633707279339433,0.5014638900756836,2025-01-16 07:42:09.722531,2025-01-16 07:48:32.203497,0 days 00:06:22.480966,3,0.2,32,0.25,336,0.05,113,1,0.003883401347691711,2,1600,5,COMPLETE
89,0.33961835503578186,0.3735153079032898,2025-01-16 07:48:32.204435,2025-01-16 07:59:36.265194,0 days 00:11:04.060759,2,0.15000000000000002,64,0.25,205,0.4,68,0,0.0004135927248081765,2,1700,6,COMPLETE
90,0.18648870289325714,0.4333651661872864,2025-01-16 07:59:36.266355,2025-01-16 08:05:03.355768,0 days 00:05:27.089413,2,0.15000000000000002,64,0.15000000000000002,191,0.0,73,1,0.00043995255352228315,2,1800,5,COMPLETE
91,0.3441479802131653,0.38033875823020935,2025-01-16 08:05:03.356633,2025-01-16 08:09:21.286663,0 days 00:04:17.930030,2,0.15000000000000002,32,0.2,196,0.4,67,0,0.00038830292283823393,2,1700,2,COMPLETE
92,0.30639415979385376,0.39284464716911316,2025-01-16 08:09:21.287803,2025-01-16 08:21:07.326615,0 days 00:11:46.038812,2,0.15000000000000002,32,0.30000000000000004,207,0.4,68,1,0.00039108817609763435,2,1700,5,COMPLETE
93,0.23691049218177795,0.41948217153549194,2025-01-16 08:21:07.327765,2025-01-16 08:29:48.941576,0 days 00:08:41.613811,2,0.1,32,0.25,173,0.35000000000000003,63,1,0.0004941364644739386,2,1600,5,COMPLETE
94,0.32095032930374146,0.3803521394729614,2025-01-16 08:29:48.942703,2025-01-16 08:39:05.613946,0 days 00:09:16.671243,6,0.15000000000000002,128,0.1,185,0.4,110,1,0.00022458044542633137,2,1400,2,COMPLETE
95,0.292162150144577,0.3968982696533203,2025-01-16 08:39:05.615027,2025-01-16 08:52:12.417295,0 days 00:13:06.802268,2,0.1,16,0.2,195,0.15000000000000002,101,1,0.0003246171411707711,2,700,5,COMPLETE
96,-0.0002636194112710655,0.5068915486335754,2025-01-16 08:52:12.418492,2025-01-16 09:00:07.627005,0 days 00:07:55.208513,2,0.35000000000000003,32,0.25,169,0.45,114,1,0.007720775001729791,3,1500,6,COMPLETE
97,-9.160042100120336e-05,0.505890965461731,2025-01-16 09:00:07.628280,2025-01-16 09:06:41.480609,0 days 00:06:33.852329,2,0.4,32,0.05,144,0.30000000000000004,109,1,0.0017827951695649187,2,1000,5,COMPLETE
98,0.33903783559799194,0.37740832567214966,2025-01-16 09:06:41.481710,2025-01-16 09:12:12.352058,0 days 00:05:30.870348,4,0.4,32,0.2,134,0.30000000000000004,59,1,0.0002915664630734215,2,700,2,COMPLETE
99,0.3248998820781708,0.3888832628726959,2025-01-16 09:12:12.353112,2025-01-16 09:19:30.778405,0 days 00:07:18.425293,4,0.25,32,0.30000000000000004,217,0.35000000000000003,60,0,0.0002500706376091105,1,1700,2,COMPLETE
