number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
67,0.33384878889282305,0.3547198474407196,2024-12-19 03:14:22.470753,2024-12-19 03:23:48.448989,0 days 00:09:25.978236,True,norm,16,2,0.5,0.2,300,100,0.0008336033067730543,4,4,COMPLETE
68,0.23800186249675584,0.3697566092014313,2024-12-19 03:23:48.452160,2024-12-19 03:34:01.273770,0 days 00:10:12.821610,True,norm,64,4,0.30000000000000004,0.35000000000000003,600,800,0.000901219358328669,4,2,COMPLETE
69,0.2639518771578176,0.36179205775260925,2024-12-19 03:34:01.280003,2024-12-19 03:43:05.696845,0 days 00:09:04.416842,True,norm,64,1,0.45,0.45,300,300,0.0006818602516842607,2,3,COMPLETE
70,0.2017199180859098,0.4490780830383301,2024-12-19 03:43:05.704380,2024-12-19 03:49:52.249508,0 days 00:06:46.545128,False,sum,64,3,0.4,0.30000000000000004,200,600,0.00018090236107357115,1,10,COMPLETE
71,0.24039441185491234,0.37616288661956787,2024-12-19 03:49:52.252308,2024-12-19 03:57:08.840937,0 days 00:07:16.588629,True,norm,64,2,0.05,0.5,600,100,0.0004314218060866259,3,4,COMPLETE
72,0.5350543228390421,0.30620068311691284,2024-12-19 03:57:08.843830,2024-12-19 04:06:40.469712,0 days 00:09:31.625882,True,norm,64,3,0.4,0.15000000000000002,500,300,0.0005173718787198814,4,3,COMPLETE
73,0.3880310855257515,0.37126147747039795,2024-12-19 04:06:40.472867,2024-12-19 04:14:45.025234,0 days 00:08:04.552367,True,norm,64,3,0.45,0.15000000000000002,500,400,0.0005324786199826604,5,3,COMPLETE
74,0.4615198995942519,0.31777235865592957,2024-12-19 04:14:45.028422,2024-12-19 04:22:32.475064,0 days 00:07:47.446642,True,norm,64,4,0.4,0.2,400,200,0.0003927297757135963,4,3,COMPLETE
75,0.4078831922555364,0.3308510184288025,2024-12-19 04:22:32.489102,2024-12-19 04:31:32.877127,0 days 00:09:00.388025,True,norm,64,3,0.35000000000000003,0.2,200,200,0.0003821899244415692,4,3,COMPLETE
76,0.0776025854000315,0.4555671513080597,2024-12-19 04:31:32.885346,2024-12-19 04:41:43.116068,0 days 00:10:10.230722,True,norm,16,3,0.4,0.15000000000000002,400,800,0.00028038163612127004,4,2,COMPLETE
77,0.5751806511969403,0.27616897225379944,2024-12-19 04:41:43.120961,2024-12-19 04:51:42.535960,0 days 00:09:59.414999,True,norm,64,2,0.25,0.1,500,600,0.00045567923190541323,3,4,COMPLETE
78,0.2167342335595002,0.3699280619621277,2024-12-19 04:51:42.540378,2024-12-19 05:02:31.944704,0 days 00:10:49.404326,False,sum,128,1,0.25,0.05,500,1000,0.00010884672433128948,3,4,COMPLETE
79,0.33076044509796604,0.4350709915161133,2024-12-19 05:02:31.949416,2024-12-19 05:13:23.941170,0 days 00:10:51.991754,False,norm,16,1,0.15000000000000002,0.0,600,700,0.0002999593439763739,3,5,COMPLETE
80,0.35575428535768244,0.34073391556739807,2024-12-19 05:13:23.943477,2024-12-19 05:23:52.843719,0 days 00:10:28.900242,True,norm,128,2,0.25,0.1,500,600,0.00014224538938411237,4,5,COMPLETE
81,0.18092637799721883,0.38575780391693115,2024-12-19 05:23:52.878318,2024-12-19 05:43:10.398568,0 days 00:19:17.520250,False,sum,64,1,0.25,0.05,600,800,0.00026395256677797543,4,9,COMPLETE
82,0.2855028837551492,0.4003494679927826,2024-12-19 05:43:10.434943,2024-12-19 05:51:38.357580,0 days 00:08:27.922637,True,norm,64,2,0.2,0.1,400,600,0.0003367877520734998,4,4,COMPLETE
83,0.5202424830063026,0.29851627349853516,2024-12-19 05:51:38.361071,2024-12-19 06:01:51.883910,0 days 00:10:13.522839,True,norm,64,2,0.2,0.0,500,800,0.0004441969867375143,3,8,COMPLETE
84,0.4107293100576012,0.3678632378578186,2024-12-19 06:01:51.918249,2024-12-19 06:10:09.191324,0 days 00:08:17.273075,True,norm,64,2,0.2,0.0,500,700,0.00043453896235113513,3,7,COMPLETE
85,0.4907186737298873,0.3088032305240631,2024-12-19 06:10:09.195202,2024-12-19 06:21:14.707272,0 days 00:11:05.512070,True,mean,128,2,0.30000000000000004,0.45,700,500,0.00035022242553513254,5,4,COMPLETE
86,0.30266931999359975,0.38471895456314087,2024-12-19 06:21:14.732727,2024-12-19 06:28:53.091902,0 days 00:07:38.359175,True,mean,16,2,0.30000000000000004,0.4,300,500,0.0003684511305300447,3,5,COMPLETE
87,0.09198695595315454,0.4728025794029236,2024-12-19 06:28:53.100129,2024-12-19 06:39:03.369798,0 days 00:10:10.269669,False,norm,128,2,0.25,0.05,700,2000,0.00046002130437237503,5,8,COMPLETE
88,0.36766986544946423,0.43116605281829834,2024-12-19 06:39:03.395439,2024-12-19 06:45:42.502373,0 days 00:06:39.106934,True,sum,64,2,0.1,0.0,600,900,0.0003149715821111892,3,5,COMPLETE
89,0.42983437601351515,0.3511389195919037,2024-12-19 06:45:42.505726,2024-12-19 06:53:14.846528,0 days 00:07:32.340802,True,norm,64,2,0.25,0.1,400,400,0.00034301351419518136,5,4,COMPLETE
