number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
52,0.4155732989311218,0.3675984740257263,2025-01-20 00:04:45.077794,2025-01-20 00:16:41.300775,0 days 00:11:56.222981,2,0.25,32,0.2,236,0.05,128,0,0.0006445710035901093,1,1900,4,COMPLETE
53,0.41407567262649536,0.3646138310432434,2025-01-20 00:16:41.301775,2025-01-20 00:23:27.384511,0 days 00:06:46.082736,2,0.0,32,0.4,135,0.30000000000000004,109,0,0.0005047810022184824,3,1200,2,COMPLETE
54,0.4194776117801666,0.3663749098777771,2025-01-20 00:23:27.385397,2025-01-20 00:28:28.450707,0 days 00:05:01.065310,2,0.45,64,0.5,148,0.30000000000000004,124,0,0.0008830167851888724,1,1000,2,COMPLETE
55,0.42162570357322693,0.3638712763786316,2025-01-20 00:28:28.451587,2025-01-20 00:39:27.627891,0 days 00:10:59.176304,4,0.1,32,0.25,168,0.35000000000000003,86,0,0.0006978586898788235,2,1500,3,COMPLETE
56,0.39902597665786743,0.3744155466556549,2025-01-20 00:39:27.628780,2025-01-20 00:45:57.382237,0 days 00:06:29.753457,2,0.05,32,0.5,192,0.35000000000000003,75,0,0.002775589706964406,1,900,3,COMPLETE
57,0.4195006787776947,0.3703230917453766,2025-01-20 00:45:57.384495,2025-01-20 01:14:36.719400,0 days 00:28:39.334905,3,0.2,16,0.0,218,0.2,116,1,0.00012302327801767555,3,500,5,COMPLETE
58,0.43213051557540894,0.3605005741119385,2025-01-20 01:14:36.720470,2025-01-20 01:22:09.862374,0 days 00:07:33.141904,2,0.5,32,0.45,159,0.4,95,0,0.000314585601652953,1,700,2,COMPLETE
59,0.41679686307907104,0.3732231557369232,2025-01-20 01:22:09.863233,2025-01-20 01:37:51.459911,0 days 00:15:41.596678,4,0.25,128,0.05,269,0.25,125,0,0.00039224746869836633,3,1400,2,COMPLETE
60,0.29187479615211487,0.4222624897956848,2025-01-20 01:37:51.460893,2025-01-20 01:43:25.936935,0 days 00:05:34.476042,2,0.4,64,0.35000000000000003,242,0.30000000000000004,43,0,0.004499472284733515,1,1100,2,COMPLETE
61,0.4402971863746643,0.3589666783809662,2025-01-20 01:43:25.937751,2025-01-20 01:51:09.966859,0 days 00:07:44.029108,2,0.0,32,0.45,161,0.4,118,0,0.00021152495789890187,1,700,2,COMPLETE
