number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
40,0.5067464743336791,0.4059757526979997,2025-01-07 13:47:43.320018,2025-01-07 13:48:02.984034,0 days 00:00:19.664016,64,0.1,0.2610907054857209,0.0006329054588577827,1,400,COMPLETE
41,0.512331470829286,0.3975325210754185,2025-01-07 13:48:02.985470,2025-01-07 13:48:32.335914,0 days 00:00:29.350444,128,0.15000000000000002,0.3594427868365361,0.0007695670305476592,2,200,COMPLETE
42,0.4695376151039454,0.4240565665953236,2025-01-07 13:48:32.338995,2025-01-07 13:49:10.518566,0 days 00:00:38.179571,128,0.45,0.23153292184087104,0.0002844766121460447,2,300,COMPLETE
43,0.5156466554939165,0.39593558327700307,2025-01-07 13:49:10.520624,2025-01-07 13:49:33.816693,0 days 00:00:23.296069,128,0.0,0.33495383999798123,0.0008922967689485216,2,600,COMPLETE
44,0.515224131695156,0.39728255623180053,2025-01-07 13:49:33.818997,2025-01-07 13:50:02.045099,0 days 00:00:28.226102,64,0.05,0.38280059075329104,0.0006983338476094563,2,400,COMPLETE
45,0.5125346471089199,0.4028574689923835,2025-01-07 13:50:02.048333,2025-01-07 13:50:27.580571,0 days 00:00:25.532238,32,0.25,0.0023241625030185897,0.0004376553104508256,3,200,COMPLETE
46,0.49778740624071094,0.40884347224991624,2025-01-07 13:50:27.583169,2025-01-07 13:50:57.788159,0 days 00:00:30.204990,128,0.35000000000000003,0.36003751758745656,0.0003653300454619278,2,500,COMPLETE
47,0.5060233742018101,0.4072184687707184,2025-01-07 13:50:57.790541,2025-01-07 13:51:28.494767,0 days 00:00:30.704226,16,0.1,0.38956369160843,0.00020900922627306568,1,1400,COMPLETE
48,0.5089682691274103,0.40541091167792953,2025-01-07 13:51:28.496504,2025-01-07 13:51:49.169334,0 days 00:00:20.672830,128,0.2,0.3990507189390217,0.0009089923806438047,3,700,COMPLETE
49,0.5169492772426418,0.3947434496072143,2025-01-07 13:51:49.172469,2025-01-07 13:52:23.405099,0 days 00:00:34.232630,128,0.15000000000000002,0.34713760888163425,0.0009949725692382039,2,100,COMPLETE
50,0.49174816206640565,0.4076724539624542,2025-01-07 13:52:23.407449,2025-01-07 13:52:46.479042,0 days 00:00:23.071593,64,0.4,0.3172461262854256,0.0004979903578542635,1,300,COMPLETE
51,0.5039311963979811,0.3991392359340108,2025-01-07 13:52:46.480233,2025-01-07 13:53:18.709572,0 days 00:00:32.229339,128,0.15000000000000002,0.3454887719750185,0.0009966497193194686,2,100,COMPLETE
52,0.528505816281928,0.38903906581669484,2025-01-07 13:53:18.711644,2025-01-07 13:53:35.383284,0 days 00:00:16.671640,128,0.15000000000000002,0.04606097519407726,0.0007765543667340651,3,400,COMPLETE
53,0.5141179296662765,0.40123621685620287,2025-01-07 13:53:35.385591,2025-01-07 13:54:09.245418,0 days 00:00:33.859827,32,0.25,0.04726851944730047,0.00011521866876694995,3,1200,COMPLETE
54,0.3916147196054478,0.5185406514487227,2025-01-07 13:54:09.246335,2025-01-07 13:54:37.141241,0 days 00:00:27.894906,16,0.5,0.07928010262957286,0.0006076705186161816,3,1600,COMPLETE
55,0.5049099638489876,0.402718872537983,2025-01-07 13:54:37.145209,2025-01-07 13:55:05.849486,0 days 00:00:28.704277,64,0.30000000000000004,0.0328718817206565,0.00017064478998132866,3,1000,COMPLETE
56,0.44287848571334865,0.5254899216273511,2025-01-07 13:55:05.853227,2025-01-07 13:55:30.711623,0 days 00:00:24.858396,32,0.45,0.0009600781331497998,0.0007809170045131098,3,1300,COMPLETE
57,0.514689162169391,0.3936424236213302,2025-01-07 13:55:30.715500,2025-01-07 13:55:52.256874,0 days 00:00:21.541374,128,0.05,0.07060132086852483,0.0006765239893957887,3,800,COMPLETE
58,0.5028693954867787,0.3966427385647188,2025-01-07 13:55:52.260524,2025-01-07 13:56:12.247153,0 days 00:00:19.986629,128,0.0,0.10708680485791688,0.00037811687192513995,3,1400,COMPLETE
59,0.5124238504600142,0.39618883764730556,2025-01-07 13:56:12.249841,2025-01-07 13:56:36.600173,0 days 00:00:24.350332,128,0.1,0.024083354847020427,0.0004748660398057735,3,1100,COMPLETE
60,0.49294624106433654,0.40986595557608235,2025-01-07 13:56:36.604548,2025-01-07 13:57:17.051618,0 days 00:00:40.447070,16,0.2,0.17313275225925795,0.0005494078861198891,3,900,COMPLETE
61,0.49760207885122104,0.4171798212729789,2025-01-07 13:57:17.055760,2025-01-07 13:57:47.320195,0 days 00:00:30.264435,128,0.4,0.1519473315072097,0.0002761142719162252,3,2000,COMPLETE
62,0.4939598224008521,0.41359683682245674,2025-01-07 13:57:47.324473,2025-01-07 13:58:09.321738,0 days 00:00:21.997265,128,0.30000000000000004,0.0534317093896084,0.0003161941898932614,3,1800,COMPLETE
63,0.49659307378310213,0.42471576080922074,2025-01-07 13:58:09.326138,2025-01-07 13:58:31.798232,0 days 00:00:22.472094,64,0.35000000000000003,0.10942939393249212,0.0007456953063362826,3,1200,COMPLETE
64,0.51911718995286,0.39037571974712587,2025-01-07 13:58:31.802903,2025-01-07 13:58:55.102166,0 days 00:00:23.299263,128,0.1,0.09263223362262024,0.0008295424219069094,3,600,COMPLETE
65,0.5153582053630663,0.397536458791763,2025-01-07 13:58:55.106843,2025-01-07 13:59:18.049922,0 days 00:00:22.943079,32,0.2,0.1865667038379468,0.0008226574396275523,3,600,COMPLETE
66,0.5110580330053516,0.39826118054286397,2025-01-07 13:59:18.051779,2025-01-07 13:59:37.940689,0 days 00:00:19.888910,128,0.1,0.08878544363086363,0.0006496111715253,3,400,COMPLETE
67,0.5074596333338002,0.4027467883131579,2025-01-07 13:59:37.943424,2025-01-07 13:59:55.682598,0 days 00:00:17.739174,128,0.05,0.0444897189442445,0.0005881514720024626,3,200,COMPLETE
68,0.5216069183378831,0.39679658401118084,2025-01-07 13:59:55.686738,2025-01-07 14:00:28.902209,0 days 00:00:33.215471,16,0.25,0.059687789830161014,0.0009225017965996328,1,500,COMPLETE
69,0.49834605947276184,0.4079669738511991,2025-01-07 14:00:28.903405,2025-01-07 14:01:01.604565,0 days 00:00:32.701160,16,0.25,0.017544938058012043,0.0005231360956203388,1,500,COMPLETE
70,0.5207873397618097,0.39954375291536054,2025-01-07 14:01:01.605721,2025-01-07 14:01:21.681246,0 days 00:00:20.075525,128,0.15000000000000002,0.0555268750644487,0.0004571049456523543,3,700,COMPLETE
71,0.48466407969119596,0.4110791727878573,2025-01-07 14:01:21.684690,2025-01-07 14:01:36.207492,0 days 00:00:14.522802,128,0.1,0.13449055377828883,0.000839728126765084,1,500,COMPLETE
72,0.508648624120167,0.3985931379905466,2025-01-07 14:01:36.209173,2025-01-07 14:02:03.531314,0 days 00:00:27.322141,64,0.2,0.09442564215144214,0.0009111322105952406,2,300,COMPLETE
73,0.4486679472161438,0.442682452187151,2025-01-07 14:02:03.533652,2025-01-07 14:02:23.049819,0 days 00:00:19.516167,32,0.5,0.06338880080504164,0.000741114322363915,2,400,COMPLETE
74,0.5019813900810091,0.4136239189306221,2025-01-07 14:02:23.050763,2025-01-07 14:02:42.218082,0 days 00:00:19.167319,128,0.05,0.034889842355573186,0.000679814104640637,1,1900,COMPLETE
75,0.4983820921744734,0.4143413460415899,2025-01-07 14:02:42.219962,2025-01-07 14:02:58.639110,0 days 00:00:16.419148,128,0.30000000000000004,0.23062321477664238,0.0007922890542328707,2,600,COMPLETE
76,0.5104927408288968,0.39872827585200027,2025-01-07 14:02:58.641352,2025-01-07 14:03:36.232795,0 days 00:00:37.591443,16,0.25,0.27118049887551665,0.0005864866809560721,1,400,COMPLETE
77,0.5071561905112127,0.3964041931685429,2025-01-07 14:03:36.233634,2025-01-07 14:03:55.428959,0 days 00:00:19.195325,128,0.15000000000000002,0.2951861069994923,0.0006259083648722033,2,500,COMPLETE
78,0.5151775035993001,0.3982919254716491,2025-01-07 14:03:55.431351,2025-01-07 14:04:24.789499,0 days 00:00:29.358148,64,0.1,0.2089064953307726,0.0004011339238480092,2,1500,COMPLETE
79,0.4927552938750381,0.4041579656691562,2025-01-07 14:04:24.792622,2025-01-07 14:04:48.959854,0 days 00:00:24.167232,32,0.4,0.0627959025350236,0.0007232947984038674,1,300,COMPLETE
80,0.5026319328114701,0.40357481557609337,2025-01-07 14:04:48.961601,2025-01-07 14:05:10.608045,0 days 00:00:21.646444,128,0.0,0.3062992624074965,0.0009446128305963978,2,600,COMPLETE
81,0.5137136379944486,0.39616283877116765,2025-01-07 14:05:10.610738,2025-01-07 14:05:31.152749,0 days 00:00:20.542011,128,0.15000000000000002,0.25132475216939215,0.0008448377452430478,3,400,COMPLETE
82,0.4957969437678356,0.4140521703943471,2025-01-07 14:05:31.155749,2025-01-07 14:05:57.442712,0 days 00:00:26.286963,128,0.35000000000000003,0.04204252894991959,0.0001410992585027978,3,1800,COMPLETE
83,0.5087653740267503,0.40242493385164846,2025-01-07 14:05:57.446889,2025-01-07 14:06:29.361675,0 days 00:00:31.914786,128,0.15000000000000002,0.12192159587032496,0.00025505155312427073,3,300,COMPLETE
84,0.47481429185805857,0.4302043055254935,2025-01-07 14:06:29.364563,2025-01-07 14:07:12.248768,0 days 00:00:42.884205,16,0.45,0.016362075762248015,0.0003275658502384056,3,200,COMPLETE
85,0.5169894171495258,0.4036518068497791,2025-01-07 14:07:12.251207,2025-01-07 14:07:32.833271,0 days 00:00:20.582064,128,0.2,0.07896003352974074,0.00021699264149499533,3,800,COMPLETE
86,0.5117841516399186,0.3969198763192129,2025-01-07 14:07:32.837636,2025-01-07 14:07:53.186354,0 days 00:00:20.348718,64,0.05,0.1582775195649239,0.0005261986987676066,3,500,COMPLETE
87,0.5200391173876948,0.3915262273524177,2025-01-07 14:07:53.189182,2025-01-07 14:08:23.968673,0 days 00:00:30.779491,32,0.2,0.13367523701569523,0.0007767736005009733,3,400,COMPLETE
88,0.5053965421014632,0.4030524676727668,2025-01-07 14:08:23.969383,2025-01-07 14:08:54.180766,0 days 00:00:30.211383,32,0.15000000000000002,0.14646632864909362,0.0006522072889684672,2,1700,COMPLETE
89,0.4873486615227057,0.41507686323481574,2025-01-07 14:08:54.182518,2025-01-07 14:09:10.312682,0 days 00:00:16.130164,128,0.2,0.0342434016688612,0.0007852007714004526,1,600,COMPLETE
90,0.5071738318941461,0.3995232976918309,2025-01-07 14:09:10.314112,2025-01-07 14:09:52.602713,0 days 00:00:42.288601,16,0.15000000000000002,0.33467815204210055,0.0007160829619165378,2,300,COMPLETE
91,0.5059611965730703,0.4040523021100415,2025-01-07 14:09:52.605056,2025-01-07 14:10:41.071887,0 days 00:00:48.466831,128,0.15000000000000002,0.24274613397391986,0.00010691179809918004,3,500,COMPLETE
92,0.5144627628694548,0.40029940817714166,2025-01-07 14:10:41.075774,2025-01-07 14:11:18.134477,0 days 00:00:37.058703,128,0.1,0.18560455854340643,0.0001915720196675558,3,400,COMPLETE
93,0.5119500272187067,0.3970340305774049,2025-01-07 14:11:18.137536,2025-01-07 14:11:52.716092,0 days 00:00:34.578556,64,0.2,0.21830181853023828,0.0009277515683211457,3,100,COMPLETE
94,0.5117104822151401,0.401877951107884,2025-01-07 14:11:52.717725,2025-01-07 14:12:26.268360,0 days 00:00:33.550635,128,0.15000000000000002,0.3537429875381888,0.0008542233738086882,3,200,COMPLETE
95,0.5098061858383945,0.4008078630688818,2025-01-07 14:12:26.271357,2025-01-07 14:13:06.658579,0 days 00:00:40.387222,32,0.1,0.2849500906188128,0.0009879517116294493,3,700,COMPLETE
96,0.5141790511923108,0.39465129108019525,2025-01-07 14:13:06.660595,2025-01-07 14:13:30.050673,0 days 00:00:23.390078,128,0.2,0.19290052158443047,0.0007660154599966804,3,400,COMPLETE
97,0.5179497560897768,0.39745797682397244,2025-01-07 14:13:30.053439,2025-01-07 14:13:59.701627,0 days 00:00:29.648188,128,0.15000000000000002,0.16965361235162627,0.000559273544767182,3,1600,COMPLETE
98,0.5128895237079235,0.39457741839485694,2025-01-07 14:13:59.705762,2025-01-07 14:14:51.543304,0 days 00:00:51.837542,16,0.15000000000000002,0.008072307806284852,0.00024409867607855262,3,1300,COMPLETE
99,0.4951411263567266,0.40087632672661344,2025-01-07 14:14:51.547466,2025-01-07 14:15:04.444329,0 days 00:00:12.896863,128,0.1,0.029045358040025837,0.0006175631806076645,3,500,COMPLETE
