number,values_0,values_1,datetime_start,datetime_complete,duration,params_BN,params_aggregation,params_batch_size,params_depth,params_dropout_bond,params_dropout_ffn,params_hidden_bond,params_hidden_ffn,params_init_lr,params_layer,params_warmup_epochs,state
62,0.3053215340295271,0.5636346936225891,2024-12-18 09:50:04.707724,2024-12-18 10:00:47.486400,0 days 00:10:42.778676,True,mean,64,2,0.2,0.45,200,900,0.0006676808079259971,5,4,COMPLETE
63,0.6428118991099919,0.3624802231788635,2024-12-18 10:00:47.487929,2024-12-18 10:10:46.894477,0 days 00:09:59.406548,True,mean,64,3,0.0,0.15000000000000002,400,800,0.00039124656997390584,4,6,COMPLETE
64,0.6105846740198579,0.43556272983551025,2024-12-18 10:10:46.915498,2024-12-18 10:23:05.026822,0 days 00:12:18.111324,True,mean,128,3,0.05,0.1,500,1000,0.0005744867023036228,5,5,COMPLETE
65,0.5893122980076498,0.37009602785110474,2024-12-18 10:23:05.028897,2024-12-18 10:34:34.881638,0 days 00:11:29.852741,True,mean,64,1,0.0,0.15000000000000002,400,1200,0.0005000488970184826,4,5,COMPLETE
66,0.2615998993734072,0.5183805823326111,2024-12-18 10:34:34.903595,2024-12-18 10:43:55.474678,0 days 00:09:20.571083,True,mean,64,3,0.05,0.2,300,900,0.00027397296816130523,3,6,COMPLETE
67,0.5740118567532768,0.44413962960243225,2024-12-18 10:43:55.496936,2024-12-18 10:53:04.099459,0 days 00:09:08.602523,True,mean,32,5,0.0,0.1,500,700,0.00043210314984730246,3,5,COMPLETE
68,0.7050853581470112,0.3951988220214844,2024-12-18 10:53:04.121997,2024-12-18 11:03:30.014950,0 days 00:10:25.892953,True,norm,64,2,0.0,0.05,400,1000,0.0003429228483026484,3,8,COMPLETE
69,0.44603816292601,0.4450574517250061,2024-12-18 11:03:30.039032,2024-12-18 11:19:28.524202,0 days 00:15:58.485170,False,mean,128,3,0.1,0.15000000000000002,500,1200,0.0005443991101980676,4,4,COMPLETE
70,,,2024-12-18 11:19:28.549959,2024-12-18 11:30:02.191787,0 days 00:10:33.641828,True,mean,16,1,0.05,0.2,300,1900,0.0003739941292250783,5,5,FAIL
71,,,2024-12-18 11:30:02.194290,2024-12-18 11:39:55.035344,0 days 00:09:52.841054,True,mean,16,1,0.05,0.2,300,1900,0.00019868343701272127,5,5,FAIL
72,,,2024-12-18 11:39:55.038062,2024-12-18 11:51:15.027380,0 days 00:11:19.989318,True,mean,16,1,0.05,0.2,300,1900,0.00032414309159479576,5,5,FAIL
73,0.5088488302216394,0.42571356892585754,2024-12-18 11:51:15.033447,2024-12-18 12:02:56.985005,0 days 00:11:41.951558,True,mean,64,1,0.05,0.2,300,800,0.00018987575137730496,5,5,COMPLETE
74,0.1854842651049224,0.5787855386734009,2024-12-18 12:02:56.997112,2024-12-18 12:12:31.431773,0 days 00:09:34.434661,True,mean,16,2,0.0,0.15000000000000002,500,1100,0.000324109191215386,4,6,COMPLETE
75,,,2024-12-18 12:12:31.437238,2024-12-18 12:27:32.233399,0 days 00:15:00.796161,False,sum,64,5,0.05,0.1,600,1900,0.00037286320815414423,4,3,FAIL
76,,,2024-12-18 12:27:32.241376,2024-12-18 12:41:00.960181,0 days 00:13:28.718805,False,sum,64,5,0.05,0.1,600,1900,0.00012599410520380862,4,4,FAIL
77,,,2024-12-18 12:41:00.972854,2024-12-18 12:58:45.446699,0 days 00:17:44.473845,False,sum,64,5,0.05,0.1,600,1900,0.00037045299507996446,4,3,FAIL
78,0.13847008919912884,0.5812840461730957,2024-12-18 12:58:45.458597,2024-12-18 13:07:52.992493,0 days 00:09:07.533896,False,sum,64,5,0.05,0.1,600,1900,0.00011882215840141008,4,3,COMPLETE
79,0.40202668511544254,0.6069587469100952,2024-12-18 13:07:52.996370,2024-12-18 13:18:05.193916,0 days 00:10:12.197546,True,mean,64,3,0.15000000000000002,0.1,400,700,0.00037379508210002806,2,4,COMPLETE
80,0.5240399482880754,0.43906301259994507,2024-12-18 13:18:05.216077,2024-12-18 13:32:22.415179,0 days 00:14:17.199102,True,mean,64,3,0.25,0.05,300,1300,0.0005183114910418918,3,6,COMPLETE
81,0.4143694197177536,0.547444760799408,2024-12-18 13:32:22.438368,2024-12-18 13:40:39.472392,0 days 00:08:17.034024,True,mean,32,4,0.30000000000000004,0.2,400,1500,0.0004576683272712874,2,5,COMPLETE
82,0.6400416952975551,0.34759899973869324,2024-12-18 13:40:39.492548,2024-12-18 13:50:08.557786,0 days 00:09:29.065238,True,norm,64,5,0.5,0.15000000000000002,600,100,0.000296119197102459,5,5,COMPLETE
83,0.4395578562047602,0.4518781304359436,2024-12-18 13:50:08.563411,2024-12-18 14:00:49.184662,0 days 00:10:40.621251,True,mean,128,2,0.45,0.1,400,1000,0.0004221537519342648,3,4,COMPLETE
84,0.4519344492023825,0.420869380235672,2024-12-18 14:00:49.187536,2024-12-18 14:12:09.148787,0 days 00:11:19.961251,False,mean,16,2,0.1,0.05,200,600,0.0004754311449335316,2,10,COMPLETE
85,0.5187286915985945,0.401455819606781,2024-12-18 14:12:09.155347,2024-12-18 14:21:27.457749,0 days 00:09:18.302402,True,sum,64,4,0.15000000000000002,0.0,500,800,0.0005698426122076399,3,5,COMPLETE
86,0.46697849790290225,0.4421341121196747,2024-12-18 14:21:27.467445,2024-12-18 14:31:52.048584,0 days 00:10:24.581139,True,mean,64,1,0.1,0.15000000000000002,100,300,0.00031950784494125115,1,7,COMPLETE
87,0.49306308891267686,0.412149041891098,2024-12-18 14:31:52.051563,2024-12-18 14:40:21.575182,0 days 00:08:29.523619,False,norm,64,3,0.35000000000000003,0.5,700,200,0.00041540600563507634,2,6,COMPLETE
88,0.5105495792689552,0.5178914666175842,2024-12-18 14:40:21.580159,2024-12-18 14:51:17.364528,0 days 00:10:55.784369,True,mean,32,2,0.4,0.35000000000000003,600,500,0.00035538296674082076,5,2,COMPLETE
89,0.7149819452677969,0.41123345494270325,2024-12-18 14:51:17.386970,2024-12-18 14:58:47.001056,0 days 00:07:29.614086,True,mean,64,4,0.0,0.15000000000000002,700,100,0.0005267600035783638,2,4,COMPLETE
90,0.5958445019448702,0.3707214295864105,2024-12-18 14:58:47.014207,2024-12-18 15:08:34.542393,0 days 00:09:47.528186,True,mean,64,4,0.25,0.2,800,200,0.0003853819387413951,2,5,COMPLETE
91,0.6950514703479506,0.3678121268749237,2024-12-18 15:08:34.550273,2024-12-18 15:20:24.418581,0 days 00:11:49.868308,True,mean,128,4,0.0,0.15000000000000002,700,100,0.00044242192784262155,2,6,COMPLETE
92,0.5922352253669311,0.3834497332572937,2024-12-18 15:20:24.424162,2024-12-18 15:28:58.599524,0 days 00:08:34.175362,True,mean,64,4,0.05,0.1,900,200,0.0003993819935557577,2,5,COMPLETE
93,0.5585080075472483,0.3941032588481903,2024-12-18 15:28:58.618095,2024-12-18 15:38:49.399180,0 days 00:09:50.781085,True,mean,64,4,0.30000000000000004,0.25,600,300,0.00024254762540450763,2,4,COMPLETE
94,0.585666357172488,0.38844165205955505,2024-12-18 15:38:49.416871,2024-12-18 15:49:49.597833,0 days 00:11:00.180962,True,mean,64,4,0.0,0.15000000000000002,700,1800,0.00048649679370022994,1,5,COMPLETE
95,0.6637958807138608,0.3670385777950287,2024-12-18 15:49:49.599572,2024-12-18 15:59:41.014905,0 days 00:09:51.415333,True,sum,16,4,0.15000000000000002,0.1,800,200,0.0009422989705471068,2,6,COMPLETE
96,0.6301596209073744,0.3577759265899658,2024-12-18 15:59:41.031178,2024-12-18 16:08:31.030730,0 days 00:08:49.999552,True,mean,64,4,0.2,0.15000000000000002,500,100,0.0005346111787602635,2,4,COMPLETE
97,0.5993889119085263,0.3681713938713074,2024-12-18 16:08:31.033731,2024-12-18 16:19:44.858246,0 days 00:11:13.824515,False,norm,64,4,0.05,0.2,1000,900,0.00027846019406559954,1,5,COMPLETE
98,0.6460965397271163,0.41685399413108826,2024-12-18 16:19:44.859929,2024-12-18 16:31:18.678035,0 days 00:11:33.818106,True,mean,128,4,0.0,0.45,400,200,0.00035811174599595553,4,9,COMPLETE
99,0.7705917051474711,0.34384721517562866,2024-12-18 16:31:18.683287,2024-12-18 16:41:56.012729,0 days 00:10:37.329442,True,mean,64,4,0.0,0.1,700,400,0.0004516078937655667,2,3,COMPLETE
