number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
76,-0.00020611286163330078,0.5773747563362122,2025-01-20 21:02:47.297396,2025-01-20 21:04:55.898954,0 days 00:02:08.601558,5,0.2,64,0.2,229,0.2,33,1,0.007482637411083754,2,200,2,COMPLETE
77,0.38382649421691895,0.4041871428489685,2025-01-20 21:04:55.899720,2025-01-20 21:09:50.047321,0 days 00:04:54.147601,2,0.30000000000000004,32,0.1,219,0.35000000000000003,78,1,0.0005043509920287353,2,1100,2,COMPLETE
78,0.19048964977264404,0.5002855658531189,2025-01-20 21:09:50.048215,2025-01-20 21:18:05.652121,0 days 00:08:15.603906,3,0.15000000000000002,16,0.25,245,0.15000000000000002,97,0,0.005097162039853846,2,400,3,COMPLETE
79,0.05146559327840805,0.5512778162956238,2025-01-20 21:18:05.653278,2025-01-20 21:22:50.246333,0 days 00:04:44.593055,2,0.1,128,0.2,213,0.5,64,1,0.002523363327890051,2,1700,5,COMPLETE
80,-0.0001527786225778982,0.5784074068069458,2025-01-20 21:22:50.247610,2025-01-20 21:24:46.935308,0 days 00:01:56.687698,2,0.45,32,0.15000000000000002,176,0.25,43,1,0.003571815803146013,2,600,2,COMPLETE
81,0.4912591576576233,0.3615644574165344,2025-01-20 21:24:46.936221,2025-01-20 21:32:16.391437,0 days 00:07:29.455216,3,0.25,32,0.2,235,0.4,92,0,0.00035111088081124026,2,1400,2,COMPLETE
82,-0.00028142929659225047,0.5788796544075012,2025-01-20 21:32:16.392318,2025-01-20 21:35:34.671000,0 days 00:03:18.278682,2,0.25,32,0.2,232,0.4,60,1,0.0015333092588338964,2,1000,4,COMPLETE
83,0.3461945056915283,0.43191903829574585,2025-01-20 21:35:34.672475,2025-01-20 21:41:46.932020,0 days 00:06:12.259545,3,0.25,32,0.25,253,0.4,85,1,0.0007250119908259987,2,2000,2,COMPLETE
84,0.5040033459663391,0.35842859745025635,2025-01-20 21:41:46.932942,2025-01-20 21:48:35.306788,0 days 00:06:48.373846,2,0.2,64,0.05,190,0.45,91,0,0.0002718237836434245,2,800,2,COMPLETE
85,0.20577216148376465,0.4813525080680847,2025-01-20 21:48:35.307672,2025-01-20 21:54:02.929259,0 days 00:05:27.621587,4,0.30000000000000004,16,0.2,201,0.05,102,1,0.001979190526312456,1,100,2,COMPLETE
86,0.479494571685791,0.36543309688568115,2025-01-20 21:54:02.929937,2025-01-20 22:00:57.585538,0 days 00:06:54.655601,2,0.35000000000000003,32,0.15000000000000002,226,0.35000000000000003,89,1,0.0006360571150493964,2,500,2,COMPLETE
87,0.37375408411026,0.4143010079860687,2025-01-20 22:00:57.586401,2025-01-20 22:21:48.439811,0 days 00:20:50.853410,3,0.30000000000000004,128,0.5,273,0.45,74,1,0.0003428235098006791,3,1200,5,COMPLETE
88,0.5059475302696228,0.3520396947860718,2025-01-20 22:21:48.440756,2025-01-20 22:39:24.404957,0 days 00:17:35.964201,5,0.25,32,0.30000000000000004,259,0.35000000000000003,111,0,0.0004318972791514274,1,900,3,COMPLETE
89,0.4829038679599762,0.36226752400398254,2025-01-20 22:39:24.405919,2025-01-20 22:54:23.178838,0 days 00:14:58.772919,5,0.2,64,0.0,243,0.35000000000000003,113,1,0.000580095261989652,1,300,3,COMPLETE
90,0.4740613102912903,0.3697258532047272,2025-01-20 22:54:23.179872,2025-01-20 23:01:46.945279,0 days 00:07:23.765407,2,0.5,32,0.30000000000000004,261,0.4,83,1,0.00030653841778008133,3,900,2,COMPLETE
91,0.5065615773200989,0.36222273111343384,2025-01-20 23:01:46.946174,2025-01-20 23:08:05.301562,0 days 00:06:18.355388,2,0.25,32,0.35000000000000003,235,0.45,81,0,0.00038779824141514614,1,700,2,COMPLETE
92,0.4553608298301697,0.37208878993988037,2025-01-20 23:08:05.302579,2025-01-20 23:30:24.656109,0 days 00:22:19.353530,4,0.25,32,0.2,300,0.4,118,1,0.0004374200541005686,3,200,4,COMPLETE
93,0.5071137547492981,0.358416885137558,2025-01-20 23:30:24.657385,2025-01-20 23:39:08.368939,0 days 00:08:43.711554,3,0.4,16,0.25,247,0.35000000000000003,86,0,0.0002481821449862048,1,400,2,COMPLETE
94,0.500791072845459,0.35418760776519775,2025-01-20 23:39:08.369849,2025-01-20 23:52:12.687579,0 days 00:13:04.317730,5,0.2,32,0.15000000000000002,292,0.45,51,1,0.00015796698169373235,3,300,2,COMPLETE
95,0.323297381401062,0.43408846855163574,2025-01-20 23:52:12.688575,2025-01-21 00:02:31.745560,0 days 00:10:19.056985,2,0.25,128,0.1,240,0.4,94,1,0.0008698835470126986,1,700,4,COMPLETE
96,0.4984440803527832,0.35558679699897766,2025-01-21 00:02:31.746525,2025-01-21 00:11:34.429888,0 days 00:09:02.683363,2,0.0,32,0.2,230,0.1,108,1,0.0001969449593233124,3,600,2,COMPLETE
97,0.4918162226676941,0.3602517545223236,2025-01-21 00:11:34.430675,2025-01-21 00:35:41.322244,0 days 00:24:06.891569,4,0.05,64,0.30000000000000004,223,0.0,124,0,0.0002243991340082367,1,800,5,COMPLETE
98,0.5182369947433472,0.349836528301239,2025-01-21 00:35:41.323558,2025-01-21 00:42:14.551372,0 days 00:06:33.227814,3,0.30000000000000004,32,0.25,168,0.4,38,1,0.00025631080596983773,3,200,2,COMPLETE
99,0.5013538599014282,0.3581843078136444,2025-01-21 00:42:14.552407,2025-01-21 00:50:53.528313,0 days 00:08:38.975906,2,0.30000000000000004,64,0.15000000000000002,138,0.4,96,1,0.0002577994508360652,3,1000,3,COMPLETE
