number,values_0,values_1,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
45,0.4566453559230245,0.410550592724073,2024-12-11 13:58:08.732109,2024-12-11 13:59:16.360515,0 days 00:01:07.628406,0.5037360737938148,1.7455844742681834,0.002162919831195804,40,17,980,2.983656699479556,1.9585860801245487,0.6941406873620621,COMPLETE
46,0.4645307380709075,0.38321562686824107,2024-12-11 13:59:16.361225,2024-12-11 13:59:20.665508,0 days 00:00:04.304283,0.9269169506276116,2.269059049019914,0.12569548791128954,52,35,50,0.05304449617511167,1.837936022767813,0.8166318891968274,COMPLETE
47,0.37901102439865514,0.41747486753021146,2024-12-11 13:59:20.666244,2024-12-11 13:59:49.537862,0 days 00:00:28.871618,0.9048617013822413,0.9513107187454792,0.8179915705397287,30,31,1447,2.7503036243540713,2.257068089191428,0.995763640926608,COMPLETE
48,0.4239124977934816,0.3976197309497369,2024-12-11 13:59:49.538611,2024-12-11 13:59:57.313796,0 days 00:00:07.775185,0.6458396607723813,1.2525556207897488,0.41220541874286987,67,14,274,1.2676415570627357,2.6341278836129485,0.6264863839504026,COMPLETE
49,0.356467761500245,0.45332948747415924,2024-12-11 13:59:57.314514,2024-12-11 14:00:12.244795,0 days 00:00:14.930281,0.967681470928194,0.5216864115653479,0.544680841348814,25,38,553,0.444167436970804,1.6327419453634864,0.5910114193290165,COMPLETE
50,0.513135822364789,0.3596794447071895,2024-12-11 14:00:12.245542,2024-12-11 14:00:58.874224,0 days 00:00:46.628682,0.984997874228241,0.8816175407230658,0.033621271738333,19,23,1651,0.16063734816620856,0.02368580460891545,0.6477173697562114,COMPLETE
51,0.5146345499743784,0.36021795506316306,2024-12-11 14:00:58.875057,2024-12-11 14:01:41.373667,0 days 00:00:42.498610,0.9848799792599965,1.0967147082583921,0.0397228170350429,9,23,1633,0.13077600838975884,0.05961425474189789,0.6481986855747174,COMPLETE
52,0.517880042199578,0.3579876568985399,2024-12-11 14:01:41.374458,2024-12-11 14:02:28.919481,0 days 00:00:47.545023,0.9814168115043208,0.8424362182699304,0.030724501203455257,9,23,1615,0.2124133923463261,0.1367894033417174,0.6445984028761105,COMPLETE
53,0.4250984753663648,0.39245223077368685,2024-12-11 14:02:28.920227,2024-12-11 14:03:06.303885,0 days 00:00:37.383658,0.9818588782463938,0.18354974028077653,0.2688832640886093,8,19,1645,0.6332857642807992,0.049861580923176996,0.6426726012465507,COMPLETE
54,0.5092607478689736,0.36190780260869815,2024-12-11 14:03:06.304604,2024-12-11 14:03:42.612424,0 days 00:00:36.307820,0.5675802243360795,0.8655852553129868,0.03426995270054986,1,22,1897,0.46306267606486656,0.19239431511537183,0.6499858258777208,COMPLETE
55,0.48981595329045263,0.3724083375925894,2024-12-11 14:03:42.613137,2024-12-11 14:04:16.217309,0 days 00:00:33.604172,0.5480953381781007,0.3644475441331622,0.1737874842184246,1,22,1758,0.4105888000815803,0.15762872726886393,0.6610450155135599,COMPLETE
56,0.5005590408508913,0.36723556362203275,2024-12-11 14:04:16.217998,2024-12-11 14:05:02.271289,0 days 00:00:46.053291,0.5706271596310759,0.8654622761966991,0.036527540844295284,17,14,1889,0.5250008281874071,0.22459305727997486,0.7032336235113664,COMPLETE
57,0.320700506218585,0.4593508659603504,2024-12-11 14:05:02.272024,2024-12-11 14:05:38.464034,0 days 00:00:36.192010,0.9987409035454119,0.6255794287086787,0.6368963848963423,9,16,1753,0.14906741253354264,0.3303843423996643,0.7306603867999375,COMPLETE
58,0.3676474775498378,0.4309220374530211,2024-12-11 14:05:38.464836,2024-12-11 14:06:11.541452,0 days 00:00:33.076616,0.9259594339859781,0.8759863087612276,0.5210630363134043,12,22,1600,0.8915306374087686,0.03888546262515802,0.660277881425741,COMPLETE
59,0.47207342988284945,0.3837188904755111,2024-12-11 14:06:11.542263,2024-12-11 14:06:44.051786,0 days 00:00:32.509523,0.6915508223449259,2.992891451128262,0.03789437094247233,10,9,1513,2.4437336388726885,0.4214956343911069,0.636698758680355,COMPLETE
60,0.4922216320153298,0.36811659503109506,2024-12-11 14:06:44.052518,2024-12-11 14:07:23.906120,0 days 00:00:39.853602,0.9792434377214103,1.0742061717183808,0.09887751464803309,5,5,1864,0.6136016151543872,0.5488426177496221,0.6830821312331472,COMPLETE
61,0.48035368455960936,0.3712847132178447,2024-12-11 14:07:23.906856,2024-12-11 14:08:16.352688,0 days 00:00:52.445832,0.8911168459874921,0.00983095874712292,0.14306675990604845,16,20,1640,0.34863077335495696,0.23525601570589139,0.6171672886655701,COMPLETE
62,0.42486454992155603,0.3935232542522578,2024-12-11 14:08:16.353457,2024-12-11 14:08:21.768038,0 days 00:00:05.414581,0.6017354713396611,1.5508377787782157,0.46797470597547175,15,47,173,0.9896731685646207,0.14499392043647052,0.8791931628845756,COMPLETE
