number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lasso_weight,params_lr,params_n_layers,params_neurons,state
66,0.5445020751708571,0.37482033868170717,2025-01-07 12:57:20.817701,2025-01-07 12:58:20.841327,0 days 00:01:00.023626,32,0.25,0.10780755504034072,0.00022102454530210835,1,2000,COMPLETE
67,0.5356000820110877,0.3767944350793345,2025-01-07 12:58:20.845091,2025-01-07 12:59:13.422028,0 days 00:00:52.576937,64,0.1,0.04642335618059978,0.00044611152437301117,1,1800,COMPLETE
68,0.5264781353866408,0.37718055305949927,2025-01-07 12:59:13.426018,2025-01-07 13:00:32.831335,0 days 00:01:19.405317,32,0.05,0.2540917388357135,0.0002981297783068645,3,1600,COMPLETE
69,0.5499219243918595,0.36584289879998605,2025-01-07 13:00:32.832227,2025-01-07 13:01:28.096207,0 days 00:00:55.263980,32,0.2,0.212224217137356,0.0005045268916361362,1,1300,COMPLETE
70,0.429739269535674,0.4265764008532825,2025-01-07 13:01:28.098623,2025-01-07 13:01:55.944726,0 days 00:00:27.846103,128,0.5,0.13856583013483842,0.0003956597033300569,1,1300,COMPLETE
71,0.5368626020401831,0.3709145013910999,2025-01-07 13:01:55.947041,2025-01-07 13:02:45.635861,0 days 00:00:49.688820,32,0.15000000000000002,0.20700553827841423,0.0005742335416850415,1,2000,COMPLETE
72,0.5286897929173022,0.3764295334738195,2025-01-07 13:02:45.637401,2025-01-07 13:03:25.579577,0 days 00:00:39.942176,32,0.1,0.2868345933110088,0.0005153256058900576,1,1700,COMPLETE
73,0.5305476841108709,0.3799666215184665,2025-01-07 13:03:25.582043,2025-01-07 13:04:46.093518,0 days 00:01:20.511475,16,0.30000000000000004,0.03333476343161711,0.0002463659454710655,3,1300,COMPLETE
74,0.5333116119983277,0.3750108457178438,2025-01-07 13:04:46.094311,2025-01-07 13:05:17.903952,0 days 00:00:31.809641,32,0.1,0.15722806639322867,0.0002807731207569114,1,300,COMPLETE
75,0.5307635884347621,0.37743706325937276,2025-01-07 13:05:17.906785,2025-01-07 13:05:46.301876,0 days 00:00:28.395091,64,0.05,0.12934653152121933,0.00032861809937214385,1,400,COMPLETE
76,0.5361987110080472,0.3757883438137111,2025-01-07 13:05:46.302595,2025-01-07 13:07:47.621940,0 days 00:02:01.319345,32,0.15000000000000002,0.2259458192194175,0.00015354725931772837,2,200,COMPLETE
77,0.5358618264882422,0.37616346918950677,2025-01-07 13:07:47.627511,2025-01-07 13:08:39.839159,0 days 00:00:52.211648,32,0.2,0.31480865770092786,0.00044878098251476987,1,1900,COMPLETE
78,0.41720167506468897,0.4272173112863391,2025-01-07 13:08:39.839983,2025-01-07 13:09:23.227294,0 days 00:00:43.387311,128,0.2,0.3436054805159704,0.0005556032731122835,3,1600,COMPLETE
79,0.5504955603765899,0.36989220825332536,2025-01-07 13:09:23.235075,2025-01-07 13:10:46.204212,0 days 00:01:22.969137,16,0.35000000000000003,0.04937047033915665,0.00011866812894799353,1,2000,COMPLETE
80,0.530684479982534,0.37673290290720646,2025-01-07 13:10:46.206806,2025-01-07 13:11:50.005966,0 days 00:01:03.799160,16,0.0,0.04817428533001328,0.00012114153597570438,1,1800,COMPLETE
81,0.49664957442558677,0.3924036045733514,2025-01-07 13:11:50.008294,2025-01-07 13:12:23.165668,0 days 00:00:33.157374,32,0.45,0.36672836735319525,0.0006493713089826089,1,600,COMPLETE
82,0.5302790588528055,0.37978921259350024,2025-01-07 13:12:23.169731,2025-01-07 13:13:25.041878,0 days 00:01:01.872147,32,0.1,0.2130125580859653,0.000762723244915428,2,2000,COMPLETE
83,0.5191458976230641,0.3815681302050168,2025-01-07 13:13:25.042654,2025-01-07 13:14:03.193212,0 days 00:00:38.150558,64,0.35000000000000003,0.2333033800907006,0.0006978475239795639,1,1100,COMPLETE
84,0.5172705896150138,0.38132335174036797,2025-01-07 13:14:03.196479,2025-01-07 13:15:06.196823,0 days 00:01:03.000344,32,0.1,0.17352729837467526,0.0006162114143113779,3,1500,COMPLETE
85,0.5136056652368405,0.3873840676966984,2025-01-07 13:15:06.197730,2025-01-07 13:15:48.975671,0 days 00:00:42.777941,32,0.5,0.27030078191601764,0.00018555882464214117,1,1900,COMPLETE
86,0.4535675516741108,0.41374471984823896,2025-01-07 13:15:48.979431,2025-01-07 13:16:21.063159,0 days 00:00:32.083728,128,0.05,0.19242706875990861,0.00021575828237362218,1,900,COMPLETE
87,0.5375180759881516,0.3762932092034079,2025-01-07 13:16:21.066298,2025-01-07 13:17:33.199648,0 days 00:01:12.133350,16,0.15000000000000002,0.010064220465929502,0.0009307748634933839,2,1400,COMPLETE
88,0.515960079822005,0.3818631381194665,2025-01-07 13:17:33.202716,2025-01-07 13:18:20.555776,0 days 00:00:47.353060,32,0.4,0.02444072986821647,0.0007970470387976629,1,2000,COMPLETE
89,0.5377282932793965,0.37121597564962683,2025-01-07 13:18:20.559902,2025-01-07 13:19:06.858985,0 days 00:00:46.299083,64,0.05,0.035937548472945224,0.0004939525133751112,1,1700,COMPLETE
90,0.5277190753417071,0.3743795998010004,2025-01-07 13:19:06.862761,2025-01-07 13:20:12.293645,0 days 00:01:05.430884,32,0.1,4.446996702458378e-05,0.0007533082437315254,2,1800,COMPLETE
91,0.5435791223217288,0.3708960979881038,2025-01-07 13:20:12.296994,2025-01-07 13:21:23.840402,0 days 00:01:11.543408,32,0.1,0.05479650037103154,0.0008398124597774996,1,1900,COMPLETE
92,0.5497950653449866,0.36272300494063925,2025-01-07 13:21:23.843540,2025-01-07 13:22:18.073898,0 days 00:00:54.230358,32,0.15000000000000002,0.06657197767428362,0.0005984664005089104,1,1900,COMPLETE
93,0.5549704811692499,0.36480932045121345,2025-01-07 13:22:18.078117,2025-01-07 13:23:21.217825,0 days 00:01:03.139708,32,0.2,0.06782722280686058,0.0005562961895368121,1,1900,COMPLETE
94,0.5432069773360002,0.377642190395506,2025-01-07 13:23:21.221807,2025-01-07 13:24:18.640181,0 days 00:00:57.418374,32,0.2,0.06882067291368892,0.0005654752300552427,2,1800,COMPLETE
95,0.5275099953738503,0.3820085206245482,2025-01-07 13:24:18.644321,2025-01-07 13:25:15.805435,0 days 00:00:57.161114,32,0.25,0.08080735023509389,0.0005314640082083116,2,1900,COMPLETE
96,0.5305438640458429,0.3763811701272683,2025-01-07 13:25:15.806335,2025-01-07 13:26:12.503269,0 days 00:00:56.696934,32,0.2,0.0910066996720443,0.0005024405301114285,2,1900,COMPLETE
97,0.5449059844356088,0.37945039002670633,2025-01-07 13:26:12.506936,2025-01-07 13:27:10.444408,0 days 00:00:57.937472,32,0.25,0.0661788339934492,0.0005508456460285957,2,1700,COMPLETE
98,0.5424305986811186,0.37064633903169203,2025-01-07 13:27:10.450438,2025-01-07 13:28:00.218614,0 days 00:00:49.768176,32,0.2,0.07714545423706692,0.0004678295563405484,1,1800,COMPLETE
99,0.5544149174270838,0.36928014603698583,2025-01-07 13:28:00.222575,2025-01-07 13:28:58.418182,0 days 00:00:58.195607,32,0.2,0.10405914789945808,0.0005827780618887392,1,1900,COMPLETE
