number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
51,0.4989202916622162,0.38861268758773804,2025-01-14 17:24:37.687116,2025-01-14 17:38:57.639500,0 days 00:14:19.952384,4,0.35000000000000003,16,0.15000000000000002,211,0.2,34,0,0.0007130779350031629,2,100,5,COMPLETE
52,0.4927632212638855,0.384143590927124,2025-01-14 17:38:57.640845,2025-01-14 17:48:19.529722,0 days 00:09:21.888877,4,0.35000000000000003,16,0.1,214,0.15000000000000002,34,0,0.000540820166348149,2,100,5,COMPLETE
53,0.4761015772819519,0.39327654242515564,2025-01-14 17:48:19.530676,2025-01-14 17:56:36.064793,0 days 00:08:16.534117,4,0.30000000000000004,16,0.2,213,0.15000000000000002,34,0,0.0005143788446277435,2,100,5,COMPLETE
54,0.46795234084129333,0.39710113406181335,2025-01-14 17:56:36.065908,2025-01-14 18:01:48.699914,0 days 00:05:12.634006,4,0.35000000000000003,16,0.05,171,0.2,48,0,0.0008478683613401873,2,300,4,COMPLETE
55,0.4707779884338379,0.3953433930873871,2025-01-14 18:01:48.701007,2025-01-14 18:12:39.947734,0 days 00:10:51.246727,5,0.45,16,0.1,261,0.25,42,0,0.00040645842205010055,2,200,5,COMPLETE
56,0.48765701055526733,0.3928183913230896,2025-01-14 18:12:39.948720,2025-01-14 18:21:39.130460,0 days 00:08:59.181740,4,0.4,16,0.0,187,0.30000000000000004,37,0,0.00031834246007507265,2,100,6,COMPLETE
57,0.4913442134857178,0.3869624733924866,2025-01-14 18:21:39.131548,2025-01-14 18:29:18.997588,0 days 00:07:39.866040,5,0.35000000000000003,16,0.05,200,0.15000000000000002,32,0,0.0005698479647389269,2,300,4,COMPLETE
58,0.34590068459510803,0.452429860830307,2025-01-14 18:29:18.998543,2025-01-14 18:40:07.680266,0 days 00:10:48.681723,5,0.30000000000000004,128,0.15000000000000002,208,0.1,47,0,0.00024139673266035784,2,200,5,COMPLETE
59,0.3256320059299469,0.46196261048316956,2025-01-14 18:40:07.681235,2025-01-14 18:45:26.960137,0 days 00:05:19.278902,4,0.4,16,0.35000000000000003,221,0.5,41,0,0.00269138601098924,1,100,4,COMPLETE
60,0.4549480974674225,0.4026302397251129,2025-01-14 18:45:26.961290,2025-01-14 19:01:03.280483,0 days 00:15:36.319193,7,0.30000000000000004,64,0.1,233,0.2,54,0,0.00045192576201125764,2,400,6,COMPLETE
61,0.494911253452301,0.38850247859954834,2025-01-14 19:01:03.281636,2025-01-14 19:16:01.626224,0 days 00:14:58.344588,3,0.35000000000000003,16,0.15000000000000002,345,0.2,36,0,0.000707314921607894,2,300,5,COMPLETE
62,0.48374176025390625,0.392147958278656,2025-01-14 19:16:01.627159,2025-01-14 19:23:13.852514,0 days 00:07:12.225355,4,0.35000000000000003,16,0.2,211,0.25,36,0,0.0007576616314562733,2,300,4,COMPLETE
63,0.47327643632888794,0.3953408896923065,2025-01-14 19:23:13.853517,2025-01-14 19:41:30.421569,0 days 00:18:16.568052,3,0.4,16,0.15000000000000002,350,0.30000000000000004,127,0,0.00011306566950632435,2,200,5,COMPLETE
64,0.49100857973098755,0.3844109773635864,2025-01-14 19:41:30.422552,2025-01-14 19:51:30.863625,0 days 00:10:00.441073,6,0.35000000000000003,16,0.05,177,0.0,99,0,0.00035927957918832247,2,100,4,COMPLETE
65,0.4740487039089203,0.3912741541862488,2025-01-14 19:51:30.864829,2025-01-14 20:02:06.259213,0 days 00:10:35.394384,4,0.30000000000000004,32,0.15000000000000002,194,0.45,45,0,0.00010095389683696451,2,500,5,COMPLETE
66,0.4895840585231781,0.3846842646598816,2025-01-14 20:02:06.260322,2025-01-14 20:10:17.778456,0 days 00:08:11.518134,3,0.35000000000000003,16,0.25,225,0.4,40,0,0.0001740778227615945,2,200,4,COMPLETE
67,0.3883787989616394,0.436367928981781,2025-01-14 20:10:17.779444,2025-01-14 20:16:30.998551,0 days 00:06:13.219107,4,0.30000000000000004,128,0.0,302,0.1,34,0,0.00014232292927907455,3,400,2,COMPLETE
68,0.4705583155155182,0.397755891084671,2025-01-14 20:16:30.999507,2025-01-14 20:29:33.982077,0 days 00:13:02.982570,6,0.25,64,0.1,200,0.2,110,0,0.0004920921543095493,1,1600,5,COMPLETE
69,0.4906153082847595,0.38798126578330994,2025-01-14 20:29:33.983095,2025-01-14 20:39:54.534545,0 days 00:10:20.551450,5,0.4,16,0.05,187,0.15000000000000002,49,0,0.0003239825241297575,2,1900,6,COMPLETE
70,0.4809640049934387,0.3930540978908539,2025-01-14 20:39:54.535638,2025-01-14 20:51:11.655928,0 days 00:11:17.120290,7,0.0,16,0.2,246,0.35000000000000003,38,0,0.00024977036636981325,2,100,4,COMPLETE
71,0.4314236640930176,0.42247599363327026,2025-01-14 20:51:11.656940,2025-01-14 20:59:15.834202,0 days 00:08:04.177262,6,0.5,16,0.0,176,0.0,101,0,0.001245948797511636,2,100,4,COMPLETE
72,0.48381051421165466,0.3897079825401306,2025-01-14 20:59:15.835482,2025-01-14 21:06:55.961492,0 days 00:07:40.126010,4,0.35000000000000003,16,0.05,213,0.5,81,0,0.00034761600914097473,2,300,4,COMPLETE
73,0.4892139434814453,0.38696712255477905,2025-01-14 21:06:55.962540,2025-01-14 21:14:32.997736,0 days 00:07:37.035196,7,0.05,32,0.0,202,0.25,43,0,0.0009261556883378055,2,1300,3,COMPLETE
74,0.49514245986938477,0.3866017758846283,2025-01-14 21:14:32.998981,2025-01-14 21:32:53.462642,0 days 00:18:20.463661,4,0.15000000000000002,16,0.0,338,0.4,105,0,0.0004001881643924274,2,300,5,COMPLETE
75,0.33643874526023865,0.4566640853881836,2025-01-14 21:32:53.463589,2025-01-14 21:41:21.796267,0 days 00:08:28.332678,5,0.1,128,0.0,151,0.45,97,0,0.0016800285812004715,2,200,4,COMPLETE
