number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_neurons,state
48,0.5436661841868797,0.36933590715454023,2024-12-11 15:59:05.463479,2024-12-11 15:59:35.811783,0 days 00:00:30.348304,64,0.15000000000000002,0.0003415670415431244,2,500,COMPLETE
49,0.5361210128304947,0.3739703896192349,2024-12-11 15:59:35.818052,2024-12-11 16:00:15.520271,0 days 00:00:39.702219,64,0.05,0.00051694150764304,2,1200,COMPLETE
50,0.52461986271428,0.3744515569856124,2024-12-11 16:00:15.525918,2024-12-11 16:00:48.891703,0 days 00:00:33.365785,128,0.15000000000000002,0.0006037083119348972,2,200,COMPLETE
51,0.5121987912671802,0.3877859952911781,2024-12-11 16:00:48.895934,2024-12-11 16:01:14.706330,0 days 00:00:25.810396,64,0.0,0.00034195210152517723,2,1900,COMPLETE
52,0.5445375715830382,0.3677327740127839,2024-12-11 16:01:14.709596,2024-12-11 16:01:51.775914,0 days 00:00:37.066318,64,0.1,0.00030178116383316225,2,1100,COMPLETE
53,0.4907951937574341,0.39773729307712163,2024-12-11 16:01:51.781222,2024-12-11 16:02:09.809442,0 days 00:00:18.028220,64,0.1,0.00028934106783623346,1,1100,COMPLETE
54,0.5366616909031048,0.3751417675942037,2024-12-11 16:02:09.812681,2024-12-11 16:02:47.532187,0 days 00:00:37.719506,64,0.15000000000000002,0.00036642800788503396,2,1300,COMPLETE
55,0.4837736602832548,0.4017736575592029,2024-12-11 16:02:47.537775,2024-12-11 16:03:10.150833,0 days 00:00:22.613058,64,0.1,0.0003161270515597381,1,1200,COMPLETE
56,0.535975950499532,0.3714827813515092,2024-12-11 16:03:10.154440,2024-12-11 16:03:36.445668,0 days 00:00:26.291228,64,0.05,0.0004334340158558513,2,1400,COMPLETE
57,0.508014957916557,0.3849293007456261,2024-12-11 16:03:36.451385,2024-12-11 16:04:00.618195,0 days 00:00:24.166810,128,0.1,0.0004008288329954702,2,1100,COMPLETE
58,0.5263291525797417,0.37636228891485046,2024-12-11 16:04:00.624374,2024-12-11 16:04:29.038843,0 days 00:00:28.414469,64,0.15000000000000002,0.00024312088923235088,2,900,COMPLETE
